R‚fD‚tailCommande;R‚fCommande;R‚fProduit;Quantit‚;PrixUnitaire;Remise;FORFAIT;PrixUnitaire?;PrixUnitaireht;TVA
440;456;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
441;457;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
442;458;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
443;459;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
444;460;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
445;461;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
446;462;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
447;463;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
448;464;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
449;465;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
450;466;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
451;467;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
452;468;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
453;469;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
454;470;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
455;471;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
456;472;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
457;473;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
458;474;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
459;475;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
460;476;41;1;28.620,00;0;TRUE;0,00;28.620,00;0,140000001
461;477;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
462;478;41;1;27.560,00;0;TRUE;2.500,00;27.560,00;0,140000001
463;479;41;1;28.620,00;0;TRUE;0,00;28.620,00;0,140000001
465;480;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
466;481;41;1;28.620,00;0;TRUE;0,00;28.620,00;0,140000001
467;482;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
468;484;41;1;0,00;0;TRUE;2.700,00;0,00;0,140000001
469;485;41;1;0,00;0;TRUE;2.700,00;0,00;0,140000001
470;486;41;1;0,00;0;TRUE;2.500,00;0,00;0,140000001
471;487;41;1;0,00;0;TRUE;2.500,00;0,00;0,140000001
472;488;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
473;489;41;1;0,00;0;TRUE;2.700,00;0,00;0,140000001
474;490;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
475;491;41;1;0,00;0;TRUE;2.600,00;0,00;0
476;492;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
477;493;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
478;494;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
479;498;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
480;499;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
481;500;41;1;28.620,00;0;TRUE;0,00;28.620,00;0,140000001
482;501;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
483;502;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
484;503;41;1;28.620,00;0;TRUE;0,00;28.620,00;0,140000001
